ID,Energy_Source,Carbon_Footprint,Smart_Home_Device,Electric_Vehicle,Household_Size,Annual_Water_Usage,Renewable_Investment,Satisfaction_Score
76,Wind,14.23,Thermostat,Yes,7,66.38,Low,5.6
77,Nuclear,12.21,Lighting,Yes,6,84.62,Medium,6.25
78,Fossil,5.07,Thermostat,Yes,4,70.34,None,9.57
79,Solar,10.15,Security,Yes,4,84.43,None,3.53
80,Nuclear,2.44,Lighting,No,2,93.22,Low,8.16
81,Nuclear,14.97,Assistant,No,3,96.24,Medium,9.78
82,Fossil,7.43,Thermostat,No,7,102.63,Low,5.17
83,Solar,19.21,Assistant,Yes,5,101.11,Low,7.41
84,Solar,8.39,None,No,3,89.53,None,1.93
85,Fossil,16.74,Security,No,1,135.54,Medium,4.48
86,Fossil,10.8,Assistant,Yes,6,91.1,Low,5.04
87,Fossil,21.64,Lighting,No,3,124.62,Low,4.24
88,Wind,11.84,None,No,2,105.03,None,2.56
89,Hydro,14.25,Assistant,Yes,4,71.12,Medium,1.59
90,Solar,3.96,Thermostat,No,7,108.94,High,4.73
91,Hydro,18.21,None,Yes,1,49.71,High,5.98
92,Hydro,18.28,Thermostat,Yes,1,94.63,Low,9.49
93,Solar,22.58,Security,No,5,62.35,Low,1.71
94,Hydro,7.24,Lighting,Yes,2,123.54,None,5.05
95,Hydro,6.45,Lighting,Yes,4,97.68,Low,1.9
96,Wind,12.77,Security,No,6,111.57,None,2.96
97,Solar,10.52,Assistant,No,7,76.76,High,3.23
98,Nuclear,12.92,Thermostat,Yes,3,96.3,Low,7.83
99,Wind,7.13,None,Yes,6,123.28,Medium,5.9
100,Nuclear,4.33,Thermostat,No,4,141.45,None,7.76
101,Nuclear,12.48,Lighting,No,6,69.7,Low,3.16
102,Solar,7.79,None,No,4,78.25,High,1.46
103,Fossil,7.28,Lighting,Yes,5,93.83,High,3.6
104,Solar,9.91,Lighting,Yes,6,101.57,Medium,8.26
105,Nuclear,15.24,Lighting,Yes,5,105.56,None,1.51
106,Solar,3.11,Assistant,No,1,82.32,Low,6.22
107,Nuclear,3.3,None,No,5,43.56,Low,2.42
108,Hydro,5.72,None,Yes,7,74.11,High,9.04
109,Wind,-0.06,None,No,5,80.92,None,1.62
110,Nuclear,20.69,None,Yes,2,64.81,None,5.1
111,Fossil,12.54,Thermostat,No,2,72.46,None,9.51
112,Wind,5.45,Thermostat,No,2,127.53,None,2.59
113,Wind,15.02,Security,Yes,7,123.22,Low,1.75
114,Solar,7.25,None,No,5,142.16,High,6.48
115,Wind,14.05,Thermostat,Yes,1,124.09,Medium,8.49
116,Hydro,12.56,Security,No,6,113.48,None,9.01
117,Fossil,17.17,Assistant,No,3,73.61,Medium,4.54
118,Wind,8.69,None,No,2,138.63,Medium,1.95
119,Wind,5.79,Assistant,No,2,72.64,Medium,6.23
120,Nuclear,8.01,None,Yes,3,48.03,Medium,8.83
121,Fossil,17.23,None,No,5,59.65,High,8.41
122,Nuclear,7.22,Lighting,Yes,3,68.3,None,5.51
123,Wind,0.27,None,Yes,5,101.34,Low,2.13
124,Fossil,10.58,Assistant,No,7,110.35,None,8.28
125,Fossil,9.55,Security,Yes,1,52.86,High,1.92
126,Nuclear,13.6,Security,Yes,2,115.04,None,1.69
127,Hydro,11.12,Assistant,No,2,115.17,None,8.54
128,Nuclear,6.97,None,Yes,1,108.02,High,5.92
129,Hydro,3.53,Thermostat,Yes,1,107.04,High,9.84
130,Hydro,8.36,Lighting,Yes,2,124.38,Low,9.28
131,Fossil,10.31,Lighting,No,2,125.57,High,2.55
132,Nuclear,23.42,Security,Yes,7,140.92,High,5.63
133,Hydro,5.12,Security,No,2,52.8,High,2.23
134,Hydro,9.35,None,No,6,113.35,High,6.82
135,Wind,7.5,Thermostat,Yes,5,132.27,High,2.46
136,Solar,10.2,Security,Yes,1,36.91,Medium,8.97
137,Hydro,6.25,Lighting,Yes,4,101.03,High,6.36
138,Solar,10.23,Security,Yes,5,135.34,Medium,4.96
139,Hydro,10.69,None,No,4,57.2,High,6.19
140,Hydro,14.92,Assistant,Yes,4,99.6,High,3.07
141,Nuclear,3.5,Security,No,3,92.0,Low,9.62
142,Fossil,8.28,None,No,1,99.72,Low,4.45
143,Fossil,1.51,Security,No,5,82.35,High,3.16
144,Wind,6.76,Thermostat,Yes,4,152.62,None,7.1
145,Nuclear,7.18,None,No,2,133.48,High,1.19
146,Fossil,11.55,None,No,2,96.94,Medium,8.48
147,Wind,5.06,Thermostat,Yes,3,93.07,Medium,6.76
148,Solar,1.42,Security,No,4,61.92,None,4.09
149,Solar,13.16,Security,Yes,5,83.18,None,5.8
150,Nuclear,0.01,Security,Yes,7,87.09,High,1.42
151,Wind,11.92,Thermostat,No,6,90.24,Low,1.28
152,Solar,8.06,Assistant,Yes,2,144.43,Medium,8.3
153,Nuclear,1.08,Thermostat,Yes,2,121.95,Medium,8.77
154,Fossil,13.72,Security,No,2,91.95,High,7.92
155,Fossil,14.0,None,No,1,114.57,Low,2.63
156,Wind,3.73,None,No,4,109.09,None,9.57
157,Solar,16.75,Lighting,No,6,73.26,None,1.34
158,Fossil,4.82,None,Yes,7,57.56,Medium,3.65
159,Nuclear,4.49,Security,No,3,101.14,None,6.33
160,Wind,0.66,Assistant,No,2,78.1,None,3.29
161,Nuclear,2.98,Security,Yes,6,91.96,High,7.96
162,Hydro,10.99,Security,Yes,7,90.7,None,3.59
163,Wind,7.6,Security,Yes,5,101.05,High,7.45
164,Hydro,11.08,Thermostat,No,2,107.21,Low,2.55
165,Hydro,15.86,None,No,2,121.09,Low,5.31
166,Solar,11.21,Thermostat,No,5,183.62,High,1.31
167,Nuclear,0.62,Assistant,No,4,94.84,Medium,1.48
168,Nuclear,6.97,Security,No,7,79.04,Low,6.24
169,Nuclear,11.95,Lighting,No,4,134.57,Medium,5.33
170,Hydro,8.18,Assistant,Yes,2,59.94,High,9.35
171,Nuclear,6.19,Thermostat,No,6,100.57,Medium,8.72
172,Nuclear,3.03,Lighting,No,7,133.71,High,5.7
173,Hydro,11.87,Assistant,Yes,5,89.47,Medium,8.72
174,Solar,6.1,Lighting,Yes,2,87.47,Low,5.93
175,Solar,6.0,Lighting,No,4,72.76,High,7.74
176,Hydro,4.48,Assistant,No,4,92.5,None,6.96
177,Solar,5.69,Assistant,No,1,94.46,High,2.91
178,Solar,11.31,None,Yes,3,51.6,High,1.35
179,Hydro,5.93,Thermostat,Yes,4,73.71,None,5.42
180,Wind,4.3,Security,No,4,148.66,None,3.67
181,Nuclear,2.84,None,Yes,2,106.48,None,5.94
182,Wind,3.52,Lighting,No,1,113.43,None,5.37
183,Solar,15.54,Lighting,No,2,108.38,High,1.5
184,Hydro,16.19,Assistant,Yes,2,126.16,None,8.07
185,Wind,4.95,Security,Yes,2,94.17,Medium,1.59
186,Fossil,12.33,Security,Yes,1,81.24,Medium,9.77
187,Fossil,0.47,Security,No,6,77.22,Medium,5.71
188,Nuclear,8.31,Assistant,No,5,56.25,None,1.8
189,Solar,5.26,Lighting,No,1,57.0,High,4.09
190,Nuclear,9.09,Security,Yes,3,36.96,Low,3.0
191,Fossil,-0.63,Security,Yes,2,112.75,Low,6.37
192,Wind,11.9,Security,No,1,129.0,High,3.95
193,Nuclear,11.81,Assistant,Yes,4,106.47,Low,3.07
194,Solar,8.1,None,Yes,6,143.72,Low,7.71
195,Fossil,13.25,None,Yes,3,61.87,High,9.82
196,Fossil,4.43,Lighting,No,2,119.77,None,7.81
197,Wind,1.9,Security,No,4,116.92,High,4.37
198,Wind,10.69,Assistant,No,3,134.42,None,1.38
199,Fossil,14.09,Thermostat,No,4,104.13,None,9.93
200,Wind,1.67,Thermostat,No,6,93.2,None,9.96
201,Hydro,18.08,None,Yes,1,95.56,None,5.66
202,Hydro,12.65,Security,Yes,5,99.51,Medium,3.18
203,Fossil,6.79,None,Yes,1,144.87,Medium,6.06
204,Fossil,12.23,Assistant,No,2,146.41,None,5.8
205,Nuclear,8.19,Assistant,Yes,7,65.91,High,1.1
206,Wind,12.13,Thermostat,No,6,97.02,None,6.38
207,Wind,8.4,Lighting,No,1,102.83,High,5.52
208,Solar,6.85,Thermostat,No,6,98.32,Low,5.19
209,Hydro,6.75,Thermostat,Yes,4,129.0,None,8.21
210,Nuclear,11.97,None,Yes,2,91.67,High,5.07
211,Fossil,13.9,Thermostat,No,6,129.42,Medium,3.71
212,Fossil,6.41,None,No,5,48.06,Medium,5.12
213,Hydro,12.67,Security,Yes,4,137.37,High,3.82
214,Solar,8.1,Security,Yes,4,77.4,Medium,2.46
215,Hydro,8.28,None,Yes,5,146.89,Low,6.19
216,Hydro,13.06,Lighting,No,2,45.18,Medium,8.9
217,Wind,14.12,Lighting,No,4,134.38,None,9.29
218,Solar,10.74,None,Yes,2,117.97,Low,1.17
219,Hydro,14.33,None,Yes,2,119.45,Medium,1.98
220,Nuclear,7.79,None,Yes,1,75.58,Medium,3.72
221,Nuclear,11.18,Lighting,Yes,1,24.92,Medium,3.22
222,Solar,5.87,None,Yes,5,145.79,None,5.23
223,Nuclear,8.73,Thermostat,No,2,84.02,Medium,3.21
224,Hydro,13.55,Lighting,Yes,5,104.93,Low,1.01
225,Wind,16.47,Lighting,No,5,109.55,High,3.27
226,Hydro,9.97,None,No,4,127.35,Medium,9.79
227,Wind,3.0,Security,No,5,127.18,High,3.58
228,Hydro,8.66,Assistant,Yes,5,136.73,Medium,6.31
229,Fossil,12.74,Lighting,No,4,76.26,Medium,5.78
230,Solar,7.07,Assistant,No,7,82.86,High,6.92
231,Hydro,16.05,None,Yes,5,93.01,Low,2.13
232,Wind,16.42,Lighting,Yes,7,122.6,High,1.73
233,Nuclear,22.31,Assistant,No,1,60.13,High,5.04
234,Solar,18.9,Thermostat,No,5,106.74,Medium,8.84
235,Nuclear,10.4,Security,Yes,6,143.95,Medium,9.42
236,Hydro,9.02,Thermostat,No,4,80.13,High,3.74
237,Wind,10.18,Lighting,No,1,56.54,Medium,3.97
238,Wind,9.28,Lighting,Yes,4,113.11,Medium,4.4
239,Hydro,12.33,Security,No,1,86.07,None,7.54
240,Nuclear,6.44,Assistant,No,5,117.45,High,7.85
241,Nuclear,2.74,Assistant,No,7,39.46,None,7.29
242,Nuclear,8.09,Assistant,No,1,120.4,High,8.75
243,Nuclear,11.88,Assistant,Yes,1,157.08,None,7.28
244,Solar,8.78,Lighting,No,1,112.48,High,6.72
245,Solar,11.32,Security,No,5,111.42,High,9.47
246,Nuclear,7.37,Security,Yes,5,89.33,None,1.84
247,Wind,9.07,Thermostat,No,3,107.84,None,3.97
248,Wind,7.32,None,Yes,4,142.54,None,2.87
249,Hydro,16.07,Thermostat,No,2,111.16,Low,3.41
250,Solar,10.19,None,Yes,5,128.48,Low,2.19
251,Solar,11.49,Lighting,No,6,104.55,Medium,9.77
252,Solar,3.17,Thermostat,Yes,4,109.41,Medium,1.92
253,Nuclear,13.29,Security,No,2,102.26,None,6.53
254,Fossil,8.16,Assistant,No,2,73.23,High,5.17
255,Fossil,4.24,Thermostat,Yes,3,53.71,High,4.76
256,Nuclear,11.1,None,Yes,1,108.9,High,3.41
257,Nuclear,8.21,Thermostat,No,1,82.85,Medium,6.17
258,Wind,7.46,None,No,4,98.76,Medium,2.71
259,Solar,12.12,Assistant,Yes,1,71.61,Low,9.12
260,Fossil,8.74,Lighting,No,7,62.08,Medium,4.64
261,Wind,2.63,Security,Yes,6,55.0,Low,4.42
262,Nuclear,11.99,Security,Yes,3,112.42,High,3.32
263,Hydro,17.17,Security,Yes,4,59.13,High,5.6
264,Wind,6.94,Assistant,No,3,96.72,None,8.16
265,Fossil,9.76,None,No,7,105.36,Low,3.7
266,Solar,13.55,Lighting,No,1,90.34,Low,8.3
267,Hydro,3.98,Thermostat,No,2,57.5,None,9.99
268,Fossil,3.76,None,No,6,117.62,Medium,9.95
269,Fossil,8.79,Lighting,No,6,133.74,High,2.51
270,Fossil,10.05,None,No,1,57.44,Low,5.01
271,Fossil,14.94,Assistant,Yes,3,79.53,None,7.91
272,Wind,7.38,Assistant,No,1,111.36,Medium,2.48
273,Nuclear,6.73,Lighting,No,1,92.32,Low,4.08
274,Wind,24.86,Assistant,Yes,6,135.21,Medium,9.52
275,Wind,5.95,Assistant,No,6,131.52,None,9.07
276,Nuclear,3.89,Assistant,No,1,110.12,Low,7.95
277,Hydro,13.18,Security,No,3,46.26,High,7.21
278,Nuclear,11.72,Assistant,No,1,130.77,Low,3.64
279,Solar,11.19,None,No,2,85.46,Medium,5.38
280,Fossil,2.08,None,No,7,139.79,High,8.79
281,Solar,10.84,None,Yes,1,64.83,Low,7.71
282,Fossil,13.7,Thermostat,Yes,7,115.66,Low,9.87
283,Wind,4.24,None,Yes,2,124.16,High,7.58
284,Fossil,12.58,None,No,5,100.29,None,6.3
285,Hydro,11.44,Thermostat,No,7,124.38,Low,1.42
286,Hydro,8.18,Thermostat,No,4,109.9,High,4.57
287,Fossil,12.83,Thermostat,No,2,69.89,Medium,4.44
288,Hydro,2.55,Assistant,No,1,111.19,Low,4.2
289,Nuclear,14.39,Lighting,Yes,3,72.17,Low,6.31
290,Solar,3.33,Thermostat,Yes,1,144.47,None,4.45
291,Fossil,6.11,Lighting,No,3,145.53,Low,9.64
292,Hydro,19.25,Thermostat,Yes,6,102.24,Medium,1.99
293,Solar,11.31,None,Yes,1,71.19,High,7.47
294,Hydro,13.88,Lighting,No,4,95.26,None,3.3
295,Nuclear,10.1,None,Yes,2,107.48,High,3.53
296,Hydro,4.86,Assistant,Yes,1,72.1,High,5.86
297,Fossil,25.98,Thermostat,No,5,145.5,Medium,3.82
298,Hydro,11.41,Assistant,No,5,82.32,None,7.35
299,Nuclear,3.95,Assistant,No,6,95.11,High,1.44
300,Wind,5.84,Thermostat,Yes,7,102.39,None,3.93
301,Wind,3.41,Lighting,Yes,2,109.3,None,6.91
302,Wind,16.19,Thermostat,No,3,63.69,None,7.78
303,Solar,8.84,Lighting,Yes,3,177.58,Medium,2.83
304,Hydro,5.68,Security,Yes,4,72.75,Low,8.12
305,Nuclear,9.08,Security,Yes,7,70.49,High,7.63
306,Fossil,5.91,Thermostat,Yes,5,87.9,None,8.36
307,Hydro,7.93,Lighting,Yes,2,113.13,Medium,5.47
308,Solar,2.25,Security,Yes,4,66.2,Low,1.02
309,Wind,10.81,Thermostat,No,3,137.49,Low,3.97
310,Fossil,4.8,Lighting,Yes,4,115.13,Medium,6.23
311,Fossil,8.59,Lighting,Yes,5,106.78,Low,8.67
312,Solar,6.23,Assistant,Yes,7,120.74,Medium,5.07
313,Solar,-3.45,Security,Yes,3,53.43,None,9.49
314,Hydro,-1.22,Thermostat,No,5,130.2,High,6.3
315,Hydro,9.73,Assistant,Yes,1,136.86,None,1.1
316,Wind,10.81,Assistant,Yes,6,90.82,Medium,1.83
317,Hydro,9.3,Lighting,No,1,119.2,High,1.63
318,Hydro,4.56,Assistant,No,6,103.72,Low,2.66
319,Nuclear,8.83,None,Yes,5,84.1,None,6.2
320,Wind,15.04,Lighting,No,4,122.23,None,2.06
321,Nuclear,14.89,None,No,6,120.33,Low,8.2
322,Wind,10.43,None,No,3,143.6,Medium,4.13
323,Solar,8.15,None,Yes,4,122.88,None,1.28
324,Fossil,4.23,Thermostat,Yes,5,104.79,None,7.61
325,Wind,14.59,Assistant,No,7,96.04,Low,1.85
326,Wind,3.95,Lighting,Yes,7,125.93,High,2.54
327,Fossil,6.61,Security,Yes,2,132.49,High,2.09
328,Hydro,9.43,Thermostat,No,3,102.54,High,7.93
329,Fossil,7.52,Security,Yes,7,163.56,High,1.79
330,Hydro,6.49,Assistant,No,6,112.67,Low,5.77
331,Fossil,10.78,None,No,1,82.81,Low,3.72
332,Wind,9.07,Lighting,Yes,2,124.9,Medium,9.78
333,Solar,17.82,Lighting,No,4,88.59,Low,6.15
334,Solar,11.22,None,Yes,2,133.14,Low,7.75
335,Solar,11.08,Security,Yes,7,84.78,High,8.06
336,Hydro,0.35,Security,Yes,1,104.26,High,2.4
337,Nuclear,7.63,Security,Yes,2,137.76,Medium,2.5
338,Fossil,5.25,None,No,1,124.72,High,8.0
339,Fossil,11.62,None,No,1,97.22,None,5.36
340,Wind,8.77,Thermostat,Yes,5,151.82,Low,2.37
341,Fossil,7.72,None,No,2,88.3,High,7.38
342,Fossil,6.35,None,Yes,1,97.61,High,9.42
343,Solar,8.21,None,Yes,2,126.42,None,6.53
344,Hydro,20.59,Lighting,No,5,137.76,None,6.9
345,Solar,5.62,Security,No,6,129.32,High,3.04
346,Fossil,12.82,Security,Yes,4,130.0,Medium,3.74
347,Wind,10.31,Security,No,6,92.54,High,6.05
348,Fossil,5.15,Assistant,Yes,7,108.11,None,9.86
349,Hydro,15.92,Thermostat,No,6,143.0,High,1.05
350,Fossil,12.12,Lighting,No,2,116.92,Medium,2.13
351,Wind,12.44,Security,Yes,7,69.18,High,8.74
352,Nuclear,7.16,None,Yes,6,156.75,None,2.24
353,Nuclear,19.47,None,No,4,72.96,High,6.54
354,Solar,9.03,Security,Yes,1,88.75,None,4.6
355,Wind,17.4,None,Yes,5,159.89,Medium,2.72
356,Hydro,3.37,Security,No,1,110.47,High,8.27
357,Solar,5.7,Lighting,No,1,107.24,High,9.99
358,Hydro,11.1,Thermostat,No,1,64.6,Low,9.48
359,Fossil,13.59,Assistant,Yes,1,125.42,None,3.95
360,Fossil,10.0,Thermostat,No,6,107.92,Low,1.75
361,Fossil,13.29,Lighting,No,3,112.85,Low,4.26
362,Nuclear,14.03,Lighting,Yes,1,85.12,Low,1.13
363,Nuclear,14.41,None,Yes,1,117.3,Low,7.19
364,Wind,7.48,Thermostat,No,4,74.75,High,4.82
365,Nuclear,6.12,None,No,2,114.52,Medium,8.24
366,Fossil,10.83,Thermostat,Yes,4,62.98,None,8.97
367,Hydro,10.58,Thermostat,No,3,78.41,None,7.16
368,Solar,5.82,Security,No,1,118.74,Low,8.46
369,Solar,7.05,Security,Yes,4,108.88,None,6.73
370,Fossil,8.39,Thermostat,No,7,104.88,Medium,5.02
371,Solar,5.01,Security,No,4,94.02,Low,6.61
372,Solar,6.91,None,Yes,6,112.89,High,9.94
373,Wind,11.35,Assistant,No,6,103.61,Medium,4.85
374,Nuclear,16.41,Security,No,1,107.38,Medium,3.57
375,Nuclear,9.21,Thermostat,Yes,3,171.51,High,1.74
376,Wind,-0.77,None,No,5,129.68,Low,5.49
377,Nuclear,6.41,Security,Yes,3,147.75,None,1.95
378,Nuclear,6.68,None,Yes,6,102.92,None,3.99
379,Solar,11.34,None,No,6,74.3,Low,8.72
380,Solar,7.59,None,Yes,7,91.98,Medium,2.18
381,Nuclear,10.35,Security,Yes,4,115.67,High,8.28
382,Hydro,13.39,Thermostat,Yes,2,129.32,High,4.47
383,Solar,16.26,None,Yes,6,90.55,None,2.72
384,Wind,10.02,Security,Yes,3,126.27,High,3.01
385,Hydro,10.04,Security,Yes,3,85.97,Medium,2.13
386,Wind,6.79,None,No,5,106.05,Medium,8.04
387,Solar,-2.08,Lighting,Yes,3,78.5,Medium,1.51
388,Wind,7.92,Security,No,6,55.34,None,7.95
389,Solar,6.83,Security,Yes,5,137.72,Medium,6.83
390,Nuclear,13.75,Thermostat,Yes,6,80.34,Low,9.4
391,Wind,7.43,Security,No,5,80.13,None,7.22
392,Hydro,12.87,None,Yes,5,47.93,None,4.05
393,Fossil,9.41,Assistant,No,6,107.62,Low,6.04
394,Solar,8.68,Assistant,Yes,1,132.55,Medium,7.52
395,Wind,-0.41,Assistant,Yes,3,116.88,Low,5.54
396,Fossil,6.43,Thermostat,Yes,2,133.23,Low,8.41
397,Hydro,5.13,Lighting,Yes,5,78.44,High,5.75
398,Fossil,13.77,Thermostat,No,6,56.68,High,4.51
399,Solar,11.27,Security,Yes,7,74.26,Medium,1.69
400,Wind,13.08,None,No,4,116.02,Medium,3.19
401,Hydro,2.72,None,Yes,7,69.78,None,2.89
402,Hydro,11.75,Thermostat,Yes,1,120.7,Low,7.12
403,Solar,13.72,None,Yes,2,73.41,Medium,3.73
404,Fossil,16.84,Thermostat,No,1,32.4,High,2.66
405,Fossil,17.04,Thermostat,Yes,4,24.67,Low,7.07
406,Hydro,14.68,Assistant,Yes,4,87.71,Medium,4.67
407,Nuclear,4.24,None,No,4,107.45,Low,3.44
408,Solar,5.85,None,No,1,61.51,None,2.1
409,Fossil,-5.43,Lighting,No,7,75.62,High,9.23
410,Wind,15.77,Assistant,Yes,1,97.47,Medium,2.57
411,Hydro,4.84,None,Yes,1,103.34,Medium,7.7
412,Wind,12.04,Thermostat,Yes,5,67.41,Medium,1.54
413,Nuclear,-1.67,Thermostat,No,7,54.91,None,9.13
414,Hydro,-2.19,Security,Yes,7,73.64,Medium,9.76
415,Wind,2.16,Security,No,7,52.19,None,8.14
416,Solar,12.99,Lighting,Yes,4,94.38,Medium,1.96
417,Hydro,14.75,None,Yes,5,68.8,High,3.27
418,Nuclear,4.35,Security,Yes,4,100.44,Medium,3.91
419,Solar,17.85,Lighting,No,3,122.93,High,7.41
420,Wind,9.94,None,No,5,129.35,High,7.18
421,Hydro,7.57,Thermostat,No,7,100.01,High,5.57
422,Wind,6.84,None,No,7,91.87,High,5.26
423,Wind,21.1,Security,No,5,94.15,None,5.72
424,Nuclear,9.08,Assistant,No,7,109.67,High,4.71
425,Wind,4.37,Thermostat,No,5,111.14,Low,3.61
426,Hydro,16.5,Security,No,6,85.27,Medium,8.34
427,Wind,5.64,Thermostat,Yes,5,121.99,Low,4.62
428,Fossil,4.91,None,Yes,4,102.78,Medium,5.26
429,Fossil,10.62,Security,No,1,106.91,High,9.21
430,Fossil,16.42,None,No,1,71.0,None,5.29
431,Hydro,8.0,Security,Yes,3,114.54,Low,6.94
432,Nuclear,4.09,None,No,1,66.72,Low,1.33
433,Solar,2.11,Assistant,Yes,4,60.3,Medium,8.94
434,Fossil,0.54,Assistant,No,2,99.26,Medium,9.0
435,Wind,15.24,Thermostat,No,3,97.14,Medium,2.54
436,Solar,12.32,Thermostat,Yes,3,105.06,None,4.76
437,Hydro,12.73,Thermostat,Yes,6,98.55,High,3.96
438,Wind,3.89,Security,Yes,3,116.15,High,5.55
439,Hydro,3.69,Lighting,No,5,132.41,None,2.52
440,Fossil,11.86,Assistant,Yes,4,108.92,High,9.62
441,Wind,6.47,None,Yes,5,127.74,Low,9.88
442,Wind,12.75,None,Yes,1,60.69,None,5.19
443,Hydro,2.96,Lighting,No,1,86.91,Low,3.16
444,Nuclear,8.76,Lighting,No,5,86.06,Low,3.73
445,Solar,9.0,None,Yes,5,65.94,High,7.28
446,Solar,6.79,Assistant,Yes,4,75.38,Medium,9.88
447,Fossil,-0.41,None,No,3,74.29,Low,1.51
448,Fossil,15.29,Assistant,Yes,5,171.26,Medium,8.26
449,Solar,8.78,Lighting,No,5,70.11,High,5.99
450,Solar,14.84,Security,Yes,5,125.09,Medium,8.54
451,Nuclear,11.39,Security,No,2,108.03,None,6.68
452,Solar,9.71,Security,Yes,6,124.63,Medium,7.12
453,Fossil,13.37,Thermostat,Yes,2,72.65,Medium,7.3
